Alumni_ID,Age,Gender,Graduation_Year,Degree_Level,Major,Alumni_Status,Email_Available,Phone_Available,Wealth_Rating,Income_Bracket,Event_Attendance,Email_Open_Rate,Location,Consecutive_Giving_Years,Donation_Last_Year_2024,Total_Lifetime_Giving,Is_Donor_2025
ALM000013,48,Female,2010,Master,Law,Inactive,No,Yes,C,$100K-$150K,2,22.22,"Chicago, USA",0,0.0,0.0,No
ALM000014,22,Female,1989,Bachelor,Business,Inactive,Yes,Yes,B,$50K-$100K,2,23.81,"Shanghai, China",7,726.86,5154.33,Yes
ALM000015,22,Male,1989,PhD,Engineering,Lost Contact,Yes,Yes,B+,<$50K,4,7.72,"Austin, USA",3,1996.98,6649.01,Yes
ALM000016,36,Male,2014,Bachelor,Business,Lost Contact,Yes,Yes,C,<$50K,1,33.64,"Tokyo, Japan",0,0.0,0.0,No
ALM000017,29,Female,1975,Master,Business,Inactive,Yes,Yes,D,$50K-$100K,2,21.36,"Minneapolis, USA",9,110.76,1401.82,Yes
ALM000018,49,Female,1975,Bachelor,Sciences,Inactive,No,Yes,D,<$50K,4,14.16,"Kyoto, Japan",14,68.52,925.53,Yes
ALM000019,31,Female,1984,Master,Liberal Arts,Inactive,Yes,Yes,C,$50K-$100K,3,22.57,"Cambridge, UK",0,0.0,0.0,No
ALM000020,23,Male,1997,Bachelor,Computer Science,Inactive,Yes,Yes,B,$50K-$100K,0,12.35,"Hamilton, Canada",6,1838.05,13403.01,Yes
ALM000021,66,Female,2019,PhD,Computer Science,Inactive,Yes,Yes,C+,$150K-$250K,2,8.07,"Thoothukudi, India",0,0.0,0.0,No
ALM000022,41,Male,2018,Master,Liberal Arts,Active,Yes,Yes,C,<$50K,4,30.95,"Indianapolis, USA",0,0.0,0.0,No
ALM000023,46,Female,2006,Bachelor,Liberal Arts,Active,Yes,Yes,C+,$150K-$250K,3,39.65,"Hyderabad, India",3,316.87,1006.01,Yes
ALM000024,23,Female,2010,Master,Business,Inactive,No,No,C+,$100K-$150K,3,23.5,"Munich, Germany",0,0.0,0.0,No
ALM000025,36,Female,2005,Master,Law,Lost Contact,Yes,Yes,Unknown,$100K-$150K,2,42.68,"Amsterdam, Netherlands",0,0.0,0.0,No
ALM000026,46,Female,1991,Bachelor,Engineering,Lost Contact,Yes,Yes,Unknown,>$500K,1,20.16,"Atlanta, USA",22,33.09,991.8,Yes
ALM000027,27,Female,1975,Bachelor,Business,Inactive,Yes,Yes,C,<$50K,0,23.83,"Erode, India",0,0.0,0.0,No
ALM000028,50,Female,1994,Bachelor,Sciences,Active,No,No,D,$50K-$100K,5,47.21,"Washington DC, USA",8,254.47,1709.6,Yes
ALM000029,35,Male,2009,Bachelor,Law,Lost Contact,Yes,Yes,B,$100K-$150K,2,33.2,"Dallas, USA",0,0.0,0.0,Yes
ALM000030,40,Female,2020,Bachelor,Liberal Arts,Active,Yes,Yes,C+,$100K-$150K,5,8.08,"Edmonton, Canada",10,556.53,7650.1,Yes
ALM000031,35,Female,1994,Bachelor,Medicine,Inactive,No,Yes,C+,$50K-$100K,3,58.08,"Visakhapatnam, India",23,139.41,3176.55,Yes
ALM000032,72,Male,2010,Bachelor,Engineering,Lost Contact,Yes,Yes,A,<$50K,1,16.86,"Vancouver, Canada",3,8081.86,26164.58,Yes
ALM000033,44,Female,2013,Bachelor,Liberal Arts,Active,Yes,No,D,$100K-$150K,2,4.48,"Edmonton, Canada",9,134.01,1308.34,Yes
ALM000034,29,Male,2016,Professional,Business,Lost Contact,Yes,Yes,B,$150K-$250K,3,55.53,"Thanjavur, India",0,0.0,0.0,No
ALM000035,57,Female,2020,Master,Computer Science,Active,Yes,No,Unknown,$100K-$150K,1,53.89,"Chennai, India",4,49.21,247.28,Yes
ALM000036,26,Female,1983,Master,Business,Lost Contact,No,No,C,<$50K,1,13.72,"Miami, USA",23,57.39,1510.5,Yes
ALM000037,48,Male,2008,Bachelor,Business,Inactive,Yes,Yes,D,$100K-$150K,5,49.63,"Kochi, India",0,0.0,0.0,No
ALM000038,22,Female,2015,Bachelor,Engineering,Inactive,Yes,Yes,C+,$100K-$150K,3,21.98,"Hangzhou, China",0,0.0,0.0,No
ALM000039,25,Male,1971,Bachelor,Business,Inactive,Yes,Yes,B+,$100K-$150K,4,17.28,"Jacksonville, USA",16,1186.67,16075.29,Yes
ALM000040,47,Female,2013,Master,Engineering,Active,Yes,No,D,$100K-$150K,2,27.19,"Edinburgh, UK",23,69.54,1505.21,No
ALM000041,56,Male,2009,Bachelor,Business,Inactive,Yes,Yes,C,$100K-$150K,2,47.5,"Singapore, Singapore",0,0.0,0.0,No
ALM000042,47,Male,1980,Bachelor,Engineering,Inactive,Yes,No,C,$100K-$150K,2,47.12,"Liverpool, UK",0,0.0,0.0,Yes
ALM000043,43,Male,1972,PhD,Business,Inactive,Yes,Yes,B+,$50K-$100K,3,19.05,"Victoria, Canada",0,0.0,0.0,Yes
ALM000044,40,Male,1986,Bachelor,Business,Lost Contact,Yes,Yes,C+,$100K-$150K,2,15.68,"Las Vegas, USA",6,537.14,4228.88,Yes
ALM000045,22,Female,2007,PhD,Business,Active,Yes,No,B,<$50K,2,13.57,"Melbourne, Australia",0,0.0,0.0,No
ALM000046,34,Female,1986,PhD,Engineering,Active,Yes,Yes,C+,$100K-$150K,4,30.94,"Bangalore, India",0,0.0,0.0,Yes
ALM000047,38,Male,1993,Bachelor,Business,Inactive,Yes,Yes,C+,$100K-$150K,4,17.0,"Las Vegas, USA",24,216.81,6404.16,Yes
ALM000048,60,Male,1996,PhD,Business,Inactive,Yes,Yes,B+,$50K-$100K,3,53.3,"Thoothukudi, India",24,822.94,21235.52,Yes
ALM000049,50,Male,1986,Bachelor,Computer Science,Active,Yes,No,C,$100K-$150K,1,18.57,"New York, USA",0,0.0,0.0,No
ALM000050,22,Female,1997,Professional,Liberal Arts,Inactive,Yes,Yes,A+,$150K-$250K,1,15.44,"Toulouse, France",18,4542.67,104251.08,Yes
ALM000051,49,Female,2017,Bachelor,Business,Inactive,Yes,No,A,<$50K,0,45.58,"Singapore, Singapore",20,8156.89,206697.12,Yes
ALM000052,39,Male,2011,Master,Sciences,Inactive,Yes,No,B+,$100K-$150K,0,36.89,"Charlotte, USA",6,193.88,1328.94,Yes
ALM000053,34,Female,2000,Master,Business,Active,Yes,Yes,C+,$50K-$100K,1,42.09,"Dindigul, India",0,0.0,0.0,Yes
ALM000054,54,Male,2003,Bachelor,Sciences,Lost Contact,Yes,Yes,C,$150K-$250K,0,11.06,"Washington DC, USA",14,356.15,5159.18,Yes
ALM000055,60,Female,2002,Master,Business,Inactive,Yes,Yes,C,$50K-$100K,0,54.62,"Karur, India",0,0.0,0.0,Yes
ALM000056,58,Female,1979,PhD,Liberal Arts,Inactive,Yes,Yes,B,$150K-$250K,3,13.85,"Philadelphia, USA",23,1395.75,46839.95,Yes
ALM000057,32,Female,1981,PhD,Liberal Arts,Lost Contact,Yes,Yes,B,$150K-$250K,3,9.2,"Portland, USA",23,1434.05,31607.69,Yes
ALM000058,40,Female,2007,Master,Law,Active,Yes,Yes,B+,$50K-$100K,5,24.66,"Sharjah, UAE",0,0.0,0.0,No
ALM000059,49,Female,1976,Master,Engineering,Inactive,Yes,Yes,A+,$150K-$250K,2,34.51,"Washington DC, USA",0,0.0,0.0,Yes
ALM000060,59,Female,2000,Bachelor,Law,Inactive,Yes,No,C+,<$50K,1,52.84,"Las Vegas, USA",5,424.67,2745.31,Yes
ALM000061,37,Female,2010,Master,Liberal Arts,Active,No,Yes,C+,$150K-$250K,4,53.32,"Chennai, India",0,0.0,0.0,Yes
ALM000062,42,Male,1985,Master,Education,Inactive,Yes,Yes,Unknown,<$50K,2,56.45,"Minneapolis, USA",15,11.9,149.54,Yes
ALM000063,28,Male,2018,Master,Liberal Arts,Lost Contact,Yes,Yes,C,>$500K,2,14.66,"Austin, USA",0,0.0,0.0,No
ALM000064,27,Male,2000,Master,Sciences,Inactive,Yes,Yes,Unknown,$100K-$150K,0,13.03,"Ambur, India",21,102.17,2922.8,Yes
ALM000065,57,Female,1988,Bachelor,Sciences,Inactive,Yes,Yes,B,$150K-$250K,1,25.35,"Thiruvananthapuram, India",24,116.19,2997.36,Yes
ALM000066,65,Male,1982,Bachelor,Computer Science,Inactive,Yes,No,C,$100K-$150K,1,36.52,"San Francisco, USA",2,276.9,653.4,No
ALM000067,43,Male,1974,Bachelor,Business,Inactive,Yes,No,C+,$100K-$150K,2,21.54,"Chicago, USA",0,0.0,0.0,No
ALM000068,60,Male,2024,Bachelor,Sciences,Inactive,No,Yes,B,$50K-$100K,4,64.08,"Melbourne, Australia",0,0.0,0.0,No
ALM000069,50,Male,1986,Bachelor,Liberal Arts,Inactive,Yes,No,B+,<$50K,4,19.27,"Chennai, India",0,0.0,0.0,No
ALM000070,35,Female,1993,Master,Business,Inactive,Yes,Yes,B,$50K-$100K,2,15.96,"Hamilton, Canada",17,1990.4,33104.28,Yes
ALM000071,50,Female,1981,Bachelor,Computer Science,Inactive,No,No,Unknown,$250K-$500K,2,17.78,"Toulouse, France",0,0.0,0.0,Yes
ALM000072,68,Female,2024,Bachelor,Engineering,Inactive,Yes,No,A+,$50K-$100K,3,39.26,"Rotterdam, Netherlands",3,3102.23,9568.67,Yes
ALM000073,44,Female,1994,Bachelor,Engineering,Inactive,Yes,Yes,D,<$50K,1,40.92,"San Francisco, USA",0,0.0,0.0,No
ALM000074,68,Female,1992,Bachelor,Sciences,Inactive,Yes,Yes,C,$150K-$250K,3,12.52,"Erode, India",0,0.0,0.0,No
ALM000075,22,Female,2009,Bachelor,Liberal Arts,Lost Contact,Yes,Yes,C+,$100K-$150K,1,42.34,"Sydney, Australia",0,0.0,0.0,No
ALM000076,57,Male,1985,Master,Business,Active,Yes,Yes,D,$50K-$100K,0,16.71,"Amsterdam, Netherlands",17,21.88,430.02,Yes
ALM000077,46,Female,2019,Bachelor,Liberal Arts,Active,Yes,Yes,A,$50K-$100K,3,41.66,"Delhi, India",0,0.0,0.0,No
ALM000078,40,Male,1985,Bachelor,Computer Science,Inactive,No,No,C+,$50K-$100K,1,45.53,"Columbus, USA",0,0.0,0.0,No
ALM000079,46,Male,1980,PhD,Engineering,Lost Contact,Yes,No,B,<$50K,1,54.3,"Miami, USA",4,1485.79,7463.18,Yes
ALM000080,22,Female,1998,Bachelor,Liberal Arts,Inactive,Yes,Yes,A+,>$500K,3,29.5,"Melbourne, Australia",1,11758.6,10381.44,Yes
ALM000081,41,Male,2006,Master,Computer Science,Inactive,Yes,Yes,C+,$50K-$100K,5,13.39,"San Francisco, USA",5,73.22,399.89,Yes
ALM000082,50,Male,2024,Professional,Business,Inactive,Yes,No,C,$150K-$250K,5,56.1,"Atlanta, USA",16,226.25,4313.08,Yes
ALM000083,67,Male,1987,Bachelor,Liberal Arts,Inactive,Yes,No,C+,$150K-$250K,3,48.97,"San Antonio, USA",5,224.99,1330.76,Yes
ALM000084,37,Male,2006,Bachelor,Engineering,Inactive,Yes,Yes,B,$50K-$100K,2,21.74,"Jacksonville, USA",24,706.69,15823.62,Yes
ALM000085,32,Male,1992,Bachelor,Computer Science,Active,Yes,No,D,<$50K,2,23.73,"Shanghai, China",0,0.0,0.0,No
ALM000086,37,Male,1993,Bachelor,Computer Science,Inactive,No,Yes,B,$50K-$100K,3,48.47,"Denver, USA",0,0.0,0.0,No
ALM000087,58,Female,1999,Bachelor,Business,Active,Yes,Yes,C+,$50K-$100K,3,20.05,"Austin, USA",1,611.64,534.15,No
ALM000088,49,Female,1992,Bachelor,Engineering,Inactive,Yes,No,Unknown,$50K-$100K,1,46.84,"Houston, USA",12,16.1,193.38,Yes
ALM000089,37,Male,1981,Bachelor,Sciences,Active,No,No,D,$250K-$500K,2,15.14,"Abu Dhabi, UAE",0,0.0,0.0,Yes
ALM000090,52,Female,2006,Master,Liberal Arts,Inactive,Yes,Yes,C,$100K-$150K,1,44.84,"Sharjah, UAE",0,0.0,0.0,No
ALM000091,46,Male,2014,Bachelor,Medicine,Inactive,Yes,Yes,C,$50K-$100K,3,13.83,"Victoria, Canada",0,0.0,0.0,No
ALM000092,59,Male,1999,Master,Business,Active,Yes,Yes,D,$100K-$150K,2,53.46,"Indore, India",0,0.0,0.0,Yes
ALM000093,34,Male,2012,Master,Engineering,Inactive,No,Yes,B+,<$50K,1,15.3,"Nagpur, India",0,0.0,0.0,No
ALM000094,40,Female,2002,Bachelor,Business,Active,Yes,Yes,A,$150K-$250K,6,33.85,"Guangzhou, China",3,12839.74,30454.3,Yes
ALM000095,39,Male,1984,Bachelor,Business,Active,Yes,Yes,B+,$100K-$150K,1,28.52,"Sydney, Australia",0,0.0,0.0,Yes
ALM000096,23,Female,1988,Bachelor,Engineering,Inactive,Yes,Yes,C,$250K-$500K,0,20.24,"Brisbane, Australia",0,0.0,0.0,No
ALM000097,49,Female,2008,Master,Education,Lost Contact,Yes,Yes,C,$50K-$100K,2,18.39,"Rotterdam, Netherlands",0,0.0,0.0,Yes
ALM000098,48,Female,2007,Bachelor,Business,Lost Contact,No,No,A+,$50K-$100K,2,13.7,"New York, USA",0,0.0,0.0,No
ALM000099,45,Female,2004,Master,Sciences,Inactive,Yes,No,A,<$50K,6,6.14,"Kolkata, India",0,0.0,0.0,No
ALM000100,41,Female,2015,Master,Business,Active,Yes,Yes,Unknown,$150K-$250K,0,20.69,"Thiruvananthapuram, India",21,77.39,2050.7,Yes
ALM000101,23,Male,1993,Master,Liberal Arts,Inactive,Yes,Yes,C+,$50K-$100K,2,39.45,"Detroit, USA",0,0.0,0.0,No
ALM000102,38,Male,2002,Bachelor,Law,Active,Yes,No,C+,$50K-$100K,0,39.16,"Dallas, USA",0,0.0,0.0,No
ALM000103,39,Female,2016,Bachelor,Liberal Arts,Active,Yes,Yes,C+,$150K-$250K,1,25.39,"Minneapolis, USA",0,0.0,0.0,Yes
ALM000104,32,Female,1973,Bachelor,Business,Inactive,No,Yes,Unknown,$100K-$150K,7,10.98,"San Diego, USA",19,49.51,1348.78,Yes
ALM000105,42,Male,2013,Bachelor,Business,Inactive,Yes,No,B+,$250K-$500K,4,18.58,"Austin, USA",0,0.0,0.0,No
ALM000106,51,Male,1992,Bachelor,Medicine,Inactive,Yes,Yes,C,$150K-$250K,4,7.34,"Las Vegas, USA",20,180.28,4219.59,No
ALM000107,73,Male,1993,Master,Education,Inactive,Yes,Yes,A,<$50K,3,29.46,"Berlin, Germany",0,0.0,0.0,No
ALM000108,47,Male,1974,Professional,Business,Active,No,Yes,C+,<$50K,0,14.9,"Busan, South Korea",0,0.0,0.0,No
ALM000109,48,Male,1983,Bachelor,Sciences,Active,Yes,Yes,C+,$50K-$100K,2,22.08,"Lucknow, India",0,0.0,0.0,No
ALM000110,43,Female,2002,Bachelor,Liberal Arts,Inactive,Yes,Yes,B,$150K-$250K,3,31.37,"Karur, India",16,604.99,9235.6,Yes
ALM000111,22,Female,1999,Bachelor,Sciences,Active,Yes,Yes,C+,$100K-$150K,2,54.47,"Bhopal, India",0,0.0,0.0,Yes
ALM000112,44,Female,2010,Master,Education,Inactive,No,Yes,C,<$50K,2,51.57,"Vancouver, Canada",18,426.94,7592.13,No
ALM000113,45,Female,2010,Bachelor,Business,Inactive,Yes,Yes,D,$50K-$100K,4,48.16,"Hangzhou, China",5,127.74,644.43,Yes
ALM000114,81,Female,2015,Bachelor,Sciences,Active,Yes,No,C,$50K-$100K,1,52.04,"Portland, USA",5,310.14,1721.21,Yes
ALM000115,42,Male,1980,Bachelor,Business,Lost Contact,Yes,Yes,C+,$100K-$150K,3,14.4,"Chicago, USA",0,0.0,0.0,No
ALM000116,49,Male,1983,Master,Sciences,Inactive,Yes,No,D,$50K-$100K,0,63.81,"Los Angeles, USA",0,0.0,0.0,No
ALM000117,44,Female,2015,Bachelor,Business,Inactive,No,Yes,C,<$50K,1,64.23,"Las Vegas, USA",0,0.0,0.0,No
ALM000118,27,Female,1987,Bachelor,Sciences,Active,Yes,Yes,D,<$50K,5,18.16,"Johannesburg, South Africa",4,50.57,199.02,Yes
ALM000119,62,Male,2008,Bachelor,Business,Active,Yes,Yes,B,<$50K,0,20.88,"Sheffield, UK",22,891.05,23052.46,Yes
ALM000120,56,Female,1972,Bachelor,Business,Active,Yes,No,C,$50K-$100K,1,25.45,"Birmingham, UK",0,0.0,0.0,Yes
ALM000121,56,Male,1987,Bachelor,Sciences,Inactive,Yes,Yes,A,$150K-$250K,1,1.09,"Denver, USA",23,7544.94,223689.69,Yes
ALM000122,31,Male,2014,PhD,Engineering,Active,Yes,No,Unknown,<$50K,2,38.54,"San Diego, USA",0,0.0,0.0,Yes
ALM000123,66,Male,1996,Master,Business,Active,No,Yes,C,$100K-$150K,1,50.13,"Pune, India",0,0.0,0.0,No
ALM000124,23,Male,2008,Bachelor,Liberal Arts,Lost Contact,Yes,Yes,D,<$50K,2,16.85,"Charlotte, USA",0,0.0,0.0,Yes
ALM000125,53,Female,2007,Master,Engineering,Inactive,Yes,Yes,C+,$50K-$100K,0,20.54,"Tirunelveli, India",0,0.0,0.0,No
ALM000126,77,Female,1975,Bachelor,Sciences,Inactive,Yes,Yes,A+,$50K-$100K,2,27.45,"Visakhapatnam, India",0,0.0,0.0,No
ALM000127,30,Male,1995,PhD,Computer Science,Active,Yes,Yes,C+,$150K-$250K,0,15.05,"Nagercoil, India",0,0.0,0.0,Yes
ALM000128,36,Female,1979,PhD,Engineering,Lost Contact,No,Yes,C,$100K-$150K,1,19.07,"Winnipeg, Canada",18,438.65,11945.27,Yes
ALM000129,46,Female,1998,Bachelor,Sciences,Active,Yes,No,A,$50K-$100K,2,56.16,"Nashville, USA",0,0.0,0.0,Yes
ALM000130,37,Female,1992,Bachelor,Liberal Arts,Active,Yes,Yes,A,$100K-$150K,0,38.1,"Melbourne, Australia",12,5209.59,87677.82,Yes
ALM000131,22,Female,1999,Bachelor,Business,Active,Yes,No,A,$150K-$250K,3,26.16,"Nashville, USA",13,14230.44,262884.1,Yes
ALM000132,46,Male,2005,Master,Engineering,Lost Contact,Yes,Yes,A,$150K-$250K,2,12.7,"Chicago, USA",0,0.0,0.0,No
ALM000133,29,Female,1990,PhD,Law,Active,Yes,Yes,C+,$100K-$150K,4,27.85,"Busan, South Korea",0,0.0,0.0,No
ALM000134,52,Male,1975,Bachelor,Business,Inactive,Yes,No,D,$100K-$150K,1,43.17,"Cork, Ireland",0,0.0,0.0,No
ALM000135,31,Female,2009,Master,Engineering,Inactive,Yes,Yes,C+,<$50K,2,31.5,"Surat, India",19,140.63,2888.1,No
ALM000136,68,Male,2014,Master,Sciences,Lost Contact,Yes,Yes,D,$100K-$150K,2,7.47,"Hamburg, Germany",0,0.0,0.0,No
ALM000137,33,Female,2002,Bachelor,Liberal Arts,Inactive,Yes,Yes,B,$150K-$250K,2,26.33,"Singapore, Singapore",7,670.97,5608.02,No
ALM000138,40,Female,2009,Bachelor,Computer Science,Inactive,Yes,Yes,D,$100K-$150K,3,7.07,"Detroit, USA",0,0.0,0.0,No
ALM000139,57,Male,1980,Bachelor,Education,Lost Contact,Yes,No,B+,<$50K,1,28.55,"Nice, France",0,0.0,0.0,No
ALM000140,26,Male,2010,Master,Engineering,Active,Yes,Yes,C+,$100K-$150K,2,24.18,"Los Angeles, USA",0,0.0,0.0,No
ALM000141,48,Female,1987,Master,Sciences,Inactive,Yes,No,C+,$50K-$100K,2,18.26,"Charlotte, USA",0,0.0,0.0,No
ALM000142,64,Female,2007,Professional,Education,Active,Yes,No,A,$100K-$150K,3,24.82,"Dindigul, India",13,1446.08,28861.57,Yes
ALM000143,22,Male,1985,PhD,Liberal Arts,Inactive,Yes,Yes,B+,$150K-$250K,2,19.16,"New York, USA",0,0.0,0.0,No
ALM000144,47,Female,1979,Bachelor,Sciences,Active,Yes,No,C+,<$50K,2,49.9,"Marseille, France",0,0.0,0.0,No
ALM000145,48,Male,2002,Bachelor,Business,Active,Yes,No,C,$150K-$250K,3,35.16,"Tirunelveli, India",6,389.82,3132.92,Yes
ALM000146,56,Male,1993,Master,Business,Active,Yes,No,D,$50K-$100K,3,30.83,"Erode, India",0,0.0,0.0,Yes
ALM000147,26,Male,1981,Master,Sciences,Active,Yes,No,C,$50K-$100K,2,13.56,"Houston, USA",8,416.79,3006.95,Yes
ALM000148,25,Male,1983,Master,Education,Inactive,Yes,Yes,B,$100K-$150K,4,57.42,"Oxford, UK",0,0.0,0.0,Yes
ALM000149,52,Female,1988,Bachelor,Engineering,Inactive,Yes,No,A,$100K-$150K,3,9.74,"Dallas, USA",2,7898.24,14266.16,Yes
ALM000150,49,Female,2019,Master,Business,Lost Contact,Yes,Yes,C+,$50K-$100K,2,25.58,"Fukuoka, Japan",0,0.0,0.0,No
ALM000151,48,Male,1979,Bachelor,Law,Active,Yes,Yes,B,<$50K,4,31.91,"San Francisco, USA",0,0.0,0.0,Yes
ALM000152,50,Female,2012,Bachelor,Engineering,Active,Yes,Yes,C+,$250K-$500K,6,44.78,"Ambur, India",0,0.0,0.0,Yes
ALM000153,34,Male,1975,Bachelor,Sciences,Lost Contact,No,Yes,B,$50K-$100K,2,14.94,"Austin, USA",5,817.22,3930.79,Yes
ALM000154,48,Female,2013,Master,Business,Inactive,Yes,Yes,B,$250K-$500K,0,43.39,"Dallas, USA",14,1369.18,16620.43,No
ALM000155,49,Male,1992,Bachelor,Business,Inactive,Yes,Yes,D,$150K-$250K,3,42.88,"Oxford, UK",15,174.86,2904.93,Yes
ALM000156,34,Female,2002,Professional,Engineering,Inactive,Yes,Yes,C,$50K-$100K,2,40.56,"Austin, USA",0,0.0,0.0,Yes
ALM000157,72,Female,2017,Master,Engineering,Active,Yes,Yes,C,$100K-$150K,1,22.62,"Nashville, USA",15,430.3,5115.47,Yes
ALM000158,52,Male,1972,Bachelor,Liberal Arts,Inactive,Yes,Yes,B+,$50K-$100K,2,17.35,"Kumbakonam, India",22,828.81,19525.53,Yes
ALM000159,27,Female,1991,Bachelor,Business,Inactive,Yes,No,B,<$50K,0,36.2,"Perth, Australia",21,1261.78,29288.76,Yes
ALM000160,54,Male,1998,Bachelor,Business,Inactive,Yes,Yes,C,$50K-$100K,3,37.17,"Raleigh, USA",0,0.0,0.0,No
ALM000161,30,Male,2022,Bachelor,Engineering,Inactive,Yes,Yes,C+,<$50K,4,50.55,"San Francisco, USA",23,42.27,864.59,Yes
ALM000162,56,Male,1994,Bachelor,Business,Active,Yes,Yes,C+,$50K-$100K,1,51.97,"Detroit, USA",18,37.18,854.09,Yes
ALM000163,62,Male,1994,Master,Education,Inactive,Yes,No,Unknown,$50K-$100K,2,64.86,"Jacksonville, USA",0,0.0,0.0,No
ALM000164,32,Male,1984,Bachelor,Business,Lost Contact,Yes,Yes,B+,<$50K,2,32.85,"Hosur, India",0,0.0,0.0,No
ALM000165,59,Male,2007,Bachelor,Business,Inactive,Yes,Yes,B+,<$50K,2,29.84,"Nice, France",8,1099.96,10518.09,Yes
ALM000166,51,Male,1997,Bachelor,Engineering,Active,Yes,Yes,C+,$100K-$150K,3,29.78,"San Antonio, USA",16,52.05,1018.93,Yes
ALM000167,57,Male,1994,Bachelor,Business,Active,No,No,B,$50K-$100K,1,16.28,"Detroit, USA",0,0.0,0.0,No
ALM000168,73,Female,1976,Professional,Sciences,Inactive,No,Yes,C+,$50K-$100K,2,32.76,"Jaipur, India",0,0.0,0.0,No
ALM000169,41,Female,1996,Bachelor,Liberal Arts,Inactive,Yes,Yes,C+,>$500K,5,27.09,"Portland, USA",0,0.0,0.0,No
ALM000170,33,Male,2024,Master,Sciences,Inactive,Yes,No,B+,$50K-$100K,4,47.57,"Fukuoka, Japan",0,0.0,0.0,No
ALM000171,31,Male,1985,Bachelor,Liberal Arts,Active,Yes,Yes,B,$100K-$150K,3,21.03,"Birmingham, UK",0,0.0,0.0,No
ALM000172,32,Male,1999,Bachelor,Engineering,Inactive,Yes,Yes,C+,$50K-$100K,1,1.83,"Edinburgh, UK",0,0.0,0.0,No
ALM000173,43,Female,2006,Bachelor,Business,Inactive,Yes,No,B+,$100K-$150K,2,38.92,"Dallas, USA",15,487.57,6184.92,Yes
ALM000174,50,Female,1980,Master,Sciences,Active,Yes,Yes,D,>$500K,2,25.71,"Singapore, Singapore",0,0.0,0.0,No
ALM000175,49,Male,1998,Bachelor,Liberal Arts,Inactive,Yes,Yes,C,$100K-$150K,3,68.42,"Miami, USA",0,0.0,0.0,No
ALM000176,57,Male,2021,Bachelor,Sciences,Inactive,Yes,Yes,C+,$50K-$100K,0,38.98,"Denver, USA",0,0.0,0.0,No
ALM000177,45,Male,1979,Master,Business,Inactive,Yes,Yes,C+,<$50K,2,13.67,"Los Angeles, USA",14,175.73,2764.05,Yes
ALM000178,66,Male,1991,Bachelor,Engineering,Active,Yes,Yes,Unknown,$150K-$250K,1,20.96,"Minneapolis, USA",7,28.46,213.94,Yes
ALM000179,41,Female,1980,Bachelor,Computer Science,Inactive,Yes,Yes,C,<$50K,4,7.4,"Sydney, Australia",17,452.98,8445.41,Yes
ALM000180,85,Female,1974,Bachelor,Business,Active,Yes,Yes,A+,$100K-$150K,1,21.52,"Madurai, India",0,0.0,0.0,No
ALM000181,54,Male,2024,Bachelor,Sciences,Lost Contact,Yes,Yes,B+,$150K-$250K,2,42.66,"Vadodara, India",0,0.0,0.0,No
ALM000182,32,Female,1974,Professional,Business,Lost Contact,Yes,No,A,$50K-$100K,0,13.25,"Coimbatore, India",0,0.0,0.0,No
ALM000183,28,Male,1976,Bachelor,Law,Active,Yes,No,Unknown,$50K-$100K,1,29.29,"Hangzhou, China",0,0.0,0.0,No
ALM000184,52,Male,1996,Bachelor,Education,Inactive,Yes,Yes,C+,$50K-$100K,2,22.52,"Shanghai, China",16,55.0,1163.11,Yes
